Designator,Value,Description,Manufacturer,Quantity,Layer,Part Symbol
"On/Off, REC","TL3340AF160QG","E-SWITCH  TL3340AF160QG  SWITCH, TACTILE SPST 50mA, SMD GULL WING","E-SWITCH","2","Top, Bottom","TL3340AF160QG"
"PCIE","MECH-Molex-48099-5701","PCI Express/PCI Connectors LATCH ASSY FOR MINIP CI-ENEW TYPE W/COVER","Molex","1","None","48099-5701"
"R1","1M","SMT Resistor 1M 0603","BOURNS","1","Top","CR0603-JW-105GLF"
"R3, R20, R22","4k7","SMT Resistor 4k7 0603","BOURNS","3","Bottom, Top, Top","CR0603-FX-4701ELF"
"R4, R24, R28, R37, R44, R72","0R","SMT Resistor 0R 0603","BOURNS","6","Top, Bottom, Bottom, Bottom, Top, Top","CR0603-J/-000ELF"
"R5","2R","SMT Resistor 2R 0603","MULTICOMP","1","Top","MCSR06W2R00FTL"
"R6, R18","470R","SMT Resistor 470R 0603","BOURNS","2","Top, Bottom","CR0603-JW-471GLF"
"R7","54k9","SMT Resistor 54k9 0603","PANASONIC ELECTRONIC COMPONENTS","1","Top","ERJ3EKF5492V"
"R8","316k","SMT Resistor 316k 0603","MULTICOMP","1","Top","MC0063W06031316K"
"R9, R10, R11, R19, R21, R32, R34, R36, R38, R39, R45, R46","10k","SMT Resistor 10k 0603","BOURNS","12","Top, Top, Top, Top, Bottom, Top, Bottom, Top, Top, Bottom, Top, Top","CR0603-JW-103ELF"
"R13","47k","SMT Resistor 47k 0603","MULTICOMP","1","Top","MCWR06X4702FTL"
"R14, R15, R16, R17","75R","SMT Resistor 75R 0603","MULTICOMP","4","Top","MCWR06X75R0FTL"
"R26, R42, R43","2k2","SMT Resistor 2k2 0603","MULTICOMP","3","Bottom, Bottom, Top","MCMR06X2201FTL"
"R27","13k","SMT Resistor 13k 0603","PANASONIC ELECTRONIC COMPONENTS","1","Bottom","ERJ3GEYJ133V"
"R29, R40, R41","22R","SMT Resistor 22R 0603","BOURNS","3","Top, Bottom, Bottom","CR0603-JW-220GLF"
"R30, R47, R48","100R","SMT Resistor 100R 0603","MULTICOMP","3","Bottom, Top, Top","MC0063W06035100R"
"R31, R35","330R","SMT Resistor 330R 0603","BOURNS","2","Bottom, Top","CR0603-FX-3300GLF"
"R51, R52, R53, R55, R56, R64, R65, R69, R70","2k2","RES, 2k2, 0402, 5%","MULTICOMP","9","Top","MCWR04X2201FTL"
"R60, R66","0R","SMT Resistor 0402","MULTICOMP","2","Top","MCMR04X000 PTL"
"T1","749020010A","LAN TRANSFORMER, 10/100/1000 BASE-T","WURTH ELEKTRONIK","1","Top","749020010A"
"T2","BSS138PW","MOSFET, N CH, 60V, 0.2A","NXP","1","Top","BSS138PW"
"T3, T4, T5","PMV16XN","MOSFET Transistor, N Channel, 6.8 A, 20 V, 0.016 ohm, 4.5 V","NXP","3","Top, Top, Bottom","PMV16XN"
"T6, T7","BSS138AKA","MOSFET, N CH, 60V, 0.2A","NXP","2","Top","BSS138AKA"
"X1, X2","USB3106-30-0230-A","Micro USB A/B TH Vertical","GLOBAL CONNECTOR TECHNOLOGY","2","Top","USB3105-30-A"
